#,Job_ID,WeatherFile, ModelFile, @@building_fabrics@@, @@orientation@@, @@glazing_ratio@@, @@glazing_coating@@, @@overhang@@, @@infiltration_rate@@, @@fresh_air@@, @@lighting_density@@, @@equipment_open@@, @@occupancy_open@@,Message, Warnings, Errors, Hours, Minutes, Seconds,c0: InteriorLights:Electricity [J](RunPeriod),c1: InteriorEquipment:Electricity [J](RunPeriod),c2: Heating:DistrictHeating [J](RunPeriod),c3: Cooling:DistrictCooling [J](RunPeriod)
269,LHS-000269,GBR_London.Gatwick.037760_IWEC.epw, Type2_CS.imf, BF3,45,25, Reflective, Overhang,0.1,0.02,16,20,12,EnergyPlus Completed Successfully,2,0,0,0,19.06,2.28E+11,2.28E+11,1.60E+11,8.14E+10
270,LHS-000270,GBR_London.Gatwick.037760_IWEC.epw, Type3_OA.imf, BF4,135,50, Non_reflective, Overhang,0.1,0.005,20,10,12,EnergyPlus Completed Successfully,2,0,0,0,12.03,3.06E+11,1.67E+11,1.64E+10,3.37E+11
271,LHS-000271,GBR_London.Gatwick.037760_IWEC.epw, Type3_OA.imf, BF4,225,75, Reflective, none,0.3,0.005,24,20,15,EnergyPlus Completed Successfully,2,0,0,0,10.15,3.66E+11,3.30E+11,3.35E+10,3.82E+11
272,LHS-000272,GBR_London.Gatwick.037760_IWEC.epw, Type2_CS.imf, BF5,135,50, Reflective, Overhang,0.1,0.01,12,15,6,EnergyPlus Completed Successfully,2,0,0,0,17.2,1.74E+11,1.55E+11,1.20E+11,1.22E+11
273,LHS-000273,GBR_London.Gatwick.037760_IWEC.epw, Type4_CDO.imf, BF4,180,25, Non_reflective, Overhang,0.9,0.02,16,15,12,EnergyPlus Completed Successfully,2,0,0,0,24.36,2.46E+11,2.12E+11,3.40E+11,5.51E+10
274,LHS-000274,GBR_London.Gatwick.037760_IWEC.epw, Type1_OD.imf, BF2,135,25, Reflective, none,0.1,0.005,20,15,15,EnergyPlus Completed Successfully,2,0,0,0,9.44,3.10E+11,2.52E+11,4.31E+10,1.71E+11
275,LHS-000275,GBR_London.Gatwick.037760_IWEC.epw, Type2_CS.imf, BF3,180,50, Reflective, Overhang,0.5,0.01,4,15,9,EnergyPlus Completed Successfully,2,0,0,0,20.08,6.67E+10,1.55E+11,3.39E+11,3.84E+10
276,LHS-000276,GBR_London.Gatwick.037760_IWEC.epw, Type4_CDO.imf, BF3,315,25, Non_reflective, Overhang,0.9,0.01,16,15,15,EnergyPlus Completed Successfully,2,0,0,0,23.14,2.46E+11,2.12E+11,2.48E+11,7.15E+10
277,LHS-000277,GBR_London.Gatwick.037760_IWEC.epw, Type2_CS.imf, BF2,225,50, Non_reflective, none,0.1,0.01,24,10,15,EnergyPlus Completed Successfully,2,0,0,0,13.09,3.36E+11,8.16E+10,1.17E+11,2.13E+11
278,LHS-000278,GBR_London.Gatwick.037760_IWEC.epw, Type1_OD.imf, BF1,180,25, Reflective, Overhang,0.9,0.01,24,20,9,EnergyPlus Completed Successfully,2,0,0,0,10.5,3.70E+11,3.35E+11,5.10E+11,6.51E+10
279,LHS-000279,GBR_London.Gatwick.037760_IWEC.epw, Type1_OD.imf, BF4,45,25, Reflective, Overhang,0.3,0.015,4,10,6,EnergyPlus Completed Successfully,2,0,0,0,8.7,6.77E+10,1.70E+11,4.38E+11,2.56E+10
280,LHS-000280,GBR_London.Gatwick.037760_IWEC.epw, Type2_CS.imf, BF1,90,75, Reflective, Overhang,0.1,0.005,16,15,15,EnergyPlus Completed Successfully,2,0,0,0,14.89,2.28E+11,1.55E+11,3.87E+11,6.99E+10
281,LHS-000281,GBR_London.Gatwick.037760_IWEC.epw, Type4_CDO.imf, BF4,270,75, Reflective, Overhang,0.1,0.02,4,15,6,EnergyPlus Completed Successfully,2,0,0,0,18.34,6.70E+10,2.12E+11,4.06E+11,8.32E+10
282,LHS-000282,GBR_London.Gatwick.037760_IWEC.epw, Type4_CDO.imf, BF5,180,75, Non_reflective, Overhang,0.1,0.02,20,10,15,EnergyPlus Completed Successfully,2,0,0,0,19.43,3.06E+11,1.30E+11,8.60E+10,3.50E+11
283,LHS-000283,GBR_London.Gatwick.037760_IWEC.epw, Type3_OA.imf, BF1,135,25, Non_reflective, none,0.7,0.01,16,20,12,EnergyPlus Completed Successfully,2,0,0,0,10.41,2.46E+11,3.30E+11,4.17E+11,7.42E+10
284,LHS-000284,GBR_London.Gatwick.037760_IWEC.epw, Type1_OD.imf, BF2,225,50, Reflective, none,0.5,0.01,16,15,6,EnergyPlus Completed Successfully,2,0,0,0,9.62,2.49E+11,2.52E+11,3.30E+11,8.86E+10
