,Job_ID,Time/Date, EMS:Bedroom Zones Overheating While Occupied [](RunPeriod), EMS:Living Zones Overheating While Occupied [](RunPeriod), EMS:Bedroom Zones Overheating Severity While Occupied [](RunPeriod), EMS:Living Zones Overheating Severity While Occupied [](RunPeriod), EMS:Bedroom Zones Thermal Comfort CEN 15251 Adaptive Model Category I Status [](RunPeriod), EMS:Bedroom Zones Thermal Comfort CEN 15251 Adaptive Model Category I Status Severity [](RunPeriod), EMS:Bedroom Zones Thermal Comfort CEN 15251 Adaptive Model Category II Status [](RunPeriod), EMS:Bedroom Zones Thermal Comfort CEN 15251 Adaptive Model Category II Status Severity [](RunPeriod), EMS:Bedroom Zones Thermal Comfort CEN 15251 Adaptive Model Category III Status [](RunPeriod), EMS:Bedroom Zones Thermal Comfort CEN 15251 Adaptive Model Category III Status Severity [](RunPeriod), EMS:Living Zones Thermal Comfort CEN 15251 Adaptive Model Category I Status [](RunPeriod), EMS:Living Zones Thermal Comfort CEN 15251 Adaptive Model Category I Status Severity [](RunPeriod), EMS:Living Zones Thermal Comfort CEN 15251 Adaptive Model Category II Status [](RunPeriod), EMS:Living Zones Thermal Comfort CEN 15251 Adaptive Model Category II Status Severity [](RunPeriod), EMS:Living Zones Thermal Comfort CEN 15251 Adaptive Model Category III Status [](RunPeriod), EMS:Living Zones Thermal Comfort CEN 15251 Adaptive Model Category III Status Severity [](RunPeriod)
count,,,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,,,186.32,266.9033333333333,519.4243285472553,741.2823052157132,129.4566666666667,312.15978554602555,90.48333333333325,203.0792899469348,61.01666666666667,128.31386293484917,366.77999999999986,971.8854439373162,252.30000000000007,665.8119607332322,175.76666666666665,454.31728388596554
std,,,300.4778900412277,322.3510098811985,1138.593586384063,1564.082795773344,277.7313172687533,865.1932621389741,222.0251851099985,626.585968010299,172.179098635121,436.40586601868307,387.5798439283202,2003.7683548559596,361.28536594534023,1657.0084957260303,327.26202515198116,1330.9558995870955
min,,,11.666666666666698,35.1666666666667,10.609363013442199,39.9402436060973,0.0,0.0,0.0,0.0,0.0,0.0,43.5,28.6138885528651,9.83333333333333,5.05503203521212,1.8333333333333302,0.175899866850741
25%,,,25.041666666666675,79.5833333333333,28.040183968412904,104.6487731025495,3.5,1.720958207390425,0.3749999999999998,0.06489359854700938,0.0,0.0,117.583333333333,103.9364415754515,37.7083333333333,25.76814578379225,10.750000000000025,5.745509964613038
50%,,,52.0,151.5,64.3991879277408,214.4718973762845,9.91666666666665,7.24124661277473,2.916666666666665,1.5783247983936999,0.4166666666666665,0.0708430899146523,234.58333333333348,284.8379592308045,116.5,100.37819449658585,38.91666666666665,31.56092610553265
75%,,,131.41666666666674,302.8749999999998,211.80604861292676,602.6798210981831,54.625,74.59402719947279,27.83333333333335,37.890567500463604,14.5,17.9927273026548,448.333333333333,861.3580795634884,290.75,505.731976748148,193.20833333333326,255.29484275563902
max,,,1268.83333333333,1938.0,5989.0462945767,10067.135334707,1289.66666666667,4921.21390873927,1125.83333333333,3711.83913884695,937.666666666667,2681.6668167050398,2203.0,12790.9898583886,2102.5,10639.4778150603,1964.0,8604.7936760721
