#, Job_ID, Date/Time, EMS:Bedroom Zones Overheating While Occupied [](RunPeriod), EMS:Living Zones Overheating While Occupied [](RunPeriod), EMS:Bedroom Zones Overheating Severity While Occupied [](RunPeriod), EMS:Living Zones Overheating Severity While Occupied [](RunPeriod), EMS:Bedroom Zones Thermal Comfort CEN 15251 Adaptive Model Category I Status [](RunPeriod), EMS:Bedroom Zones Thermal Comfort CEN 15251 Adaptive Model Category I Status Severity [](RunPeriod), EMS:Bedroom Zones Thermal Comfort CEN 15251 Adaptive Model Category II Status [](RunPeriod), EMS:Bedroom Zones Thermal Comfort CEN 15251 Adaptive Model Category II Status Severity [](RunPeriod), EMS:Bedroom Zones Thermal Comfort CEN 15251 Adaptive Model Category III Status [](RunPeriod), EMS:Bedroom Zones Thermal Comfort CEN 15251 Adaptive Model Category III Status Severity [](RunPeriod), EMS:Living Zones Thermal Comfort CEN 15251 Adaptive Model Category I Status [](RunPeriod), EMS:Living Zones Thermal Comfort CEN 15251 Adaptive Model Category I Status Severity [](RunPeriod), EMS:Living Zones Thermal Comfort CEN 15251 Adaptive Model Category II Status [](RunPeriod), EMS:Living Zones Thermal Comfort CEN 15251 Adaptive Model Category II Status Severity [](RunPeriod), EMS:Living Zones Thermal Comfort CEN 15251 Adaptive Model Category III Status [](RunPeriod), EMS:Living Zones Thermal Comfort CEN 15251 Adaptive Model Category III Status Severity [](RunPeriod)
0, LHS-000000, simdays=365, 25.1666666666667, 54.8333333333333, 29.2316461192301, 69.1455622949778, 3.5, 1.99685832690643, 0.333333333333333, 8.332089688734889E-002, 0.0, 0.0, 97.1666666666666, 82.1768394545071, 31.6666666666667, 24.4926319117688, 11., 4.20401116107264 
1, LHS-000001, simdays=365, 594., 671.5, 1869.35054472046, 2672.37877848851, 439.666666666667, 1206.34071895005, 323.5, 828.181029866338, 231.166666666667, 553.93935432415, 803., 3502.75326671265, 720.5, 2743.12102675044, 657.666666666667, 2054.65315405323 
2, LHS-000002, simdays=365, 23., 70.5, 26.8023821806818, 88.0955454128284, 3.5, 2.02265429563676, 0.666666666666667, 0.166867542385112, 0.0, 0.0, 94.1666666666667, 74.2357649874405, 24.8333333333333, 18.4064359651405, 7.33333333333333, 4.6137530012085 
3, LHS-000003, simdays=365, 87.6666666666667, 242.833333333333, 100.171896631072, 342.104312916155, 19., 13.3909678423674, 4.83333333333333, 2.96191339803553, 0.833333333333333, 0.293016025604579, 386.5, 459.49641978238, 186.666666666667, 181.089362586885, 67.3333333333333, 57.6249390886199 
4, LHS-000004, simdays=365, 234.166666666667, 408.5, 408.826347145643, 979.629318672147, 107.833333333333, 135.421432850288, 52.1666666666667, 57.9272497159702, 22.8333333333333, 22.0054712260377, 579.666666666667, 1411.72383578085, 431.666666666667, 907.486928837501, 309.833333333333, 535.379831779794 
5, LHS-000005, simdays=365, 839.666666666666, 871.833333333333, 2345.25994137711, 1941.57027748951, 713.333333333333, 1303.55816996853, 488.166666666667, 703.167382429813, 276.333333333333, 330.505704792081, 1284.83333333333, 2678.04777593493, 897.166666666667, 1594.14155294223, 612.833333333333, 847.752775134542 
6, LHS-000006, simdays=365, 67., 176., 77.3934395526659, 225.391586986224, 9., 6.84360247328254, 2.83333333333333, 1.47897279970069, 0.333333333333333, 3.938237640572891E-002, 287.666666666667, 294.066297578933, 120.833333333333, 98.1701020962047, 36.8333333333333, 27.955627349062 
7, LHS-000007, simdays=365, 18.8333333333333, 87., 23.0968049813966, 120.109030537697, 2.33333333333333, 1.11252260993551, 0.0, 0.0, 0.0, 0.0, 130.333333333333, 116.124947434955, 46., 33.4381072935455, 12.5, 8.25159563807018 
8, LHS-000008, simdays=365, 11.6666666666667, 56.8333333333333, 10.6093630134422, 65.3877814192132, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 59.8333333333333, 44.9876222430715, 18.6666666666667, 9.99204718362984, 3.5, 0.826908291119565 
9, LHS-000009, simdays=365, 45., 48.5, 48.7132430298077, 66.7275572409035, 4.83333333333333, 2.80315952736969, 1., 0.186233285554833, 0.0, 0.0, 81., 58.7858140622755, 20., 12.3627840901477, 4.33333333333333, 1.67957842363111 
10, LHS-000010, simdays=365, 61., 170.666666666667, 102.130974245033, 249.411331901925, 29.3333333333333, 38.8199128753752, 14.1666666666667, 17.5183193244349, 6.83333333333333, 7.25155364193711, 246.833333333333, 301.990490881972, 126.833333333333, 121.279482411544, 48.8333333333333, 38.5760110174131 
11, LHS-000011, simdays=365, 54.8333333333333, 95.5, 63.0651093813979, 127.330480784934, 8., 5.89096683546288, 2.5, 1.09082815721263, 0.166666666666667, 8.656728965638294E-003, 152.166666666667, 165.024913335236, 69.5, 56.7838568673723, 25.8333333333333, 15.8612006972789 
12, LHS-000012, simdays=365, 12.5, 74.1666666666667, 12.9823214029336, 93.7366995971338, 0.166666666666667, 6.691467935127685E-003, 0.0, 0.0, 0.0, 0.0, 110.5, 88.233056732629, 33.6666666666667, 23.3088766319654, 8.5, 4.60983680202874 
13, LHS-000013, simdays=365, 396.166666666667, 515., 781.497184836344, 1637.63609476216, 199., 276.767266402959, 106.833333333333, 127.08705533279, 49.5, 52.6176442855805, 671.833333333333, 2209.91831222916, 570.666666666667, 1589.58300015781, 471.166666666667, 1065.50567314467 
14, LHS-000014, simdays=365, 45.1666666666667, 147.5, 53.0095917743598, 213.529499179354, 7.33333333333333, 5.79441103567276, 2.5, 1.28384452077582, 0.333333333333333, 5.283636385426149E-002, 227.5, 303.908932452588, 123.833333333333, 128.04190706367, 49.1666666666667, 43.0365853516316 
